value,time
9.57498493693079,2025-07-02T13:54:07.748745+00:00
11.221985312632775,2025-07-02T13:54:11.736368+00:00
10.307877430306974,2025-07-02T13:54:15.734001+00:00
6.270486667453369,2025-07-02T13:54:19.736876+00:00
8.617059072951776,2025-07-02T13:54:23.748522+00:00
8.278557881757628,2025-07-02T13:54:27.743152+00:00
10.958643094018768,2025-07-02T13:54:31.748792+00:00
10.94887982207645,2025-07-02T13:54:35.744423+00:00
7.803434192176162,2025-07-02T13:54:39.736050+00:00
9.905913388101482,2025-07-02T13:54:43.747696+00:00
4.2280428320773495,2025-07-02T13:54:47.745330+00:00
204.9070203258245,2025-07-02T13:54:51.737958+00:00
205.48662192080064,2025-07-02T13:54:55.750087+00:00
215.21640302310783,2025-07-02T13:54:59.742957+00:00
203.04955003614356,2025-07-02T13:55:03.753601+00:00
204.59457320207483,2025-07-02T13:55:07.747231+00:00
211.79968419121565,2025-07-02T13:55:11.745423+00:00
202.20234230660844,2025-07-02T13:55:15.752064+00:00
207.40908703613636,2025-07-02T13:55:19.754935+00:00
206.90973920521242,2025-07-02T13:55:23.748807+00:00
199.84301749238787,2025-07-02T13:55:27.758450+00:00
204.97034624785655,2025-07-02T13:55:31.748077+00:00
208.146598931082,2025-07-02T13:55:35.745709+00:00
207.02964028990047,2025-07-02T13:55:39.754353+00:00
207.17880317084018,2025-07-02T13:55:43.749983+00:00
212.8998650704464,2025-07-02T13:55:47.745615+00:00
206.207682966291,2025-07-02T13:55:51.757260+00:00
204.44367742012057,2025-07-02T13:55:55.751134+00:00
210.03168281184372,2025-07-02T13:55:59.762780+00:00
210.43427697714094,2025-07-02T13:56:03.770900+00:00
208.42020220387073,2025-07-02T13:56:07.762527+00:00
217.1990613587539,2025-07-02T13:56:11.755154+00:00
208.4797992972696,2025-07-02T13:56:15.766801+00:00
208.95565675316172,2025-07-02T13:56:19.762432+00:00
205.98317032109298,2025-07-02T13:56:23.756061+00:00
202.78930160126714,2025-07-02T13:56:27.764703+00:00
203.93958117633227,2025-07-02T13:56:31.755330+00:00
206.54592619898702,2025-07-02T13:56:35.753964+00:00
208.24185364591872,2025-07-02T13:56:39.769614+00:00
212.55999763451885,2025-07-02T13:56:43.764244+00:00
209.71613102225714,2025-07-02T13:56:47.756872+00:00
212.7009040055602,2025-07-02T13:56:51.773523+00:00
